College_Name,Districts,States,Ownership,Fees,Btech_Courses,Mtech_Courses,Rating
"Accurate Institute of Management and Technology, Greater Noida (AIMT Greater Noida) - Accurate Institute of Management and Technology, Greater Noida",Greater Noida, Uttar Pradesh,Private,   4.75 L,B.E /B.Tech (7 Courses),Null,3.4/5
"Accurate Institute of Polytechnic, Greater Noida",Greater Noida, Uttar Pradesh,Private,Null,Null,Null,5.0/5
"ACE College of Engineering and Management, Agra",Agra, Uttar Pradesh,Private,Null,B.E /B.Tech (4 Courses),Null,3.0/5
"ACE College of Engineering, Thiruvananthapuram",Thiruvananthapuram, Kerala,Private,Null,B.E /B.Tech (7 Courses),Null,5.0/5
"ACE Engineering College, Ghatkesar",Ghatkesar, Telangana,Private,Null,B.E /B.Tech (11 Courses),Null,3.8/5
"ACET Pondicherry - Achariya College of Engineering Technology, Puducherry",Villianur, Puducherry,Private,Null,B.E /B.Tech (6 Courses),Null,3.0/5
"Acharya Baldev Polytechnic College, Jaunpur",Jaunpur, Uttar Pradesh,Private,Null,Null,Null,Null
"Acharya College of Engineering, Badvel",Kadapa, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,5.0/5
"AIGS Bangalore - Acharya Institute of Graduate Studies, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,4.4/5
"Acharya Institute of Technology, Bangalore (AIT Bangalore ) - Acharya Institute of Technology, Bangalore",Bangalore, Karnataka,Private,   4.59 L,B.E /B.Tech (13 Courses),Null,3.8/5
"Acharya Jagadish Chandra Bose Polytechnic, North 24 Parganas",North 24 Parganas, West Bengal,Government,   4.05 K,Null,Null,Null
"Acharya Nagarjuna University College of Architecture and Planning, Nagarjuna Nagar",Guntur, Andhra Pradesh,Government,Null,Null,Null,3.5/5
"ANU Guntur - Acharya Nagarjuna University, Guntur",Guntur, Andhra Pradesh,Government,   2.44 L,B.E /B.Tech (16 Courses),M.E /M.Tech. (6 Courses),4.7/5
"Acharya Narendra Deva University of Agriculture and Technology, Faizabad",Kumarganj, Uttar Pradesh,Government,Null,B.E /B.Tech (3 Courses),Null,3.9/5
"Acharya Narendra Dev College, New Delhi",New Delhi, Delhi,Government,   28.75 K,Null,Null,4.2/5
"Acharya Patashala Polytechnic, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Acharya Polytechnic, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,3.5/5
"Acharya Polytechnic College, Salem",Salem, Tamil Nadu,Private,Null,Null,Null,Null
"APC College Kolkata - Acharya Prafulla Chandra College, Kolkata",Kolkata, West Bengal,Private,Null,Null,Null,4.4/5
"Acharya Prafulla Chandra Ray Polytechnic, Kolkata",Kolkata, West Bengal,Government,Null,Null,Null,Null
"Acharya School of Design, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Acharya Shri Chander Technical Institute, Jammu",Jammu, Jammu and Kashmir,Private,Null,Null,Null,Null
"Acharya Shrimannarayan Polytechnic, Wardha",Wardha, Maharashtra,Private,Null,Null,Null,Null
"Acharya's NRV School of Architecture, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Acharya Vinoba Bhave Institute of Technology, Wardha",Pavnar, Maharashtra,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Achutha Institute of Technology, Chikkaballapur",Chikkaballapur, Karnataka,Private,Null,B.E /B.Tech (5 Courses),Null,0.5/5
"AC Kunhimon Haji Memorial ICA College, Thozhiyoor",Thrissur, Kerala,Private,   60 K,Null,Null,Null
"ACME College of Engineering, Ghaziabad",Ghaziabad, Uttar Pradesh,Private,   3 L,B.E /B.Tech (6 Courses),Null,Null
"ACN College of Engineering and Management Studies, Aligarh",Aligarh, Uttar Pradesh,Private,   2.31 L,B.E /B.Tech (5 Courses),Null,4.0/5
"ACN College of Polytechnic, Aligarh",Aligarh, Uttar Pradesh,Private,Null,Null,Null,3.7/5
"AC Patil College of Engineering, Navi Mumbai",Navi Mumbai, Maharashtra,Private,   3.62 L,B.E /B.Tech (5 Courses),Null,3.9/5
"Acropolis Institute of Technology and Research, Bhopal",Bhopal, Madhya Pradesh,Private,   2.67 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (3 Courses),4.0/5
"AITR Indore - Acropolis Institute of Technology and Research, Indore",Indore, Madhya Pradesh,Private,Null,B.E /B.Tech (12 Courses),M.E /M.Tech. (4 Courses),4.3/5
"ACSCE Bangalore - ACS College of Engineering, Bangalore",Bangalore, Karnataka,Private,Null,B.E /B.Tech (10 Courses),Null,3.2/5
"ACT College of Engineering and Technology, Kancheepuram",Kancheepuram, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Adaikalamatha College, Thanjavur",Thanjavur, Tamil Nadu,Private,Null,Null,Null,Null
"Adamas Institute of Technology, North 24 Parganas",Kolkata, West Bengal,Private,   3.51 L,B.E /B.Tech (6 Courses),M.E /M.Tech. (2 Courses),2.4/5
"Adamas University, Kolkata",Kolkata, West Bengal,Private,Null,B.E /B.Tech (10 Courses),M.E /M.Tech. (2 Courses),4.2/5
"Adam's Engineering College, Khammam",Khammam, Telangana,Private,Null,B.E /B.Tech (6 Courses),Null,3.9/5
"Adani Institute of Infrastructure Engineering, Ahmedabad",Shantigram, Gujarat,Private,   7.10 L,B.E /B.Tech (3 Courses),Null,4.5/5
"ACE Angul - Adarsha College of Engineering, Angul",Angul, Odisha,Private,Null,B.E /B.Tech (8 Courses),Null,Null
"Adarsha Institute of Technology and Management, Angul",Angul, Odisha,Private,Null,Null,Null,Null
"Adarsha School of Engineering and International Polytechnic, Angul",Angul, Odisha,Private,Null,Null,Null,5.0/5
"Adarsha Science Jairamdas Bhagchand Arts and Birla Commerce Mahavidyalaya, Amravati",Dhamangaon, Maharashtra,Private,   30.57 K,Null,Null,Null
"Adarsh College of Engineering, Kakinada",Kakinada, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,3.7/5
"Adarsh Institute of Technology and Research Center, Vita",Vita, Maharashtra,Private,Null,B.E /B.Tech (6 Courses),Null,4.5/5
"Adarsh Institute of Technology, Vita",Vita, Maharashtra,Private,Null,Null,Null,Null
"Adarsh Polytechnic College, Patiala",Samana, Punjab,Private,Null,Null,Null,Null
"Adarsh Polytechnic, Dhule",Dhule, Maharashtra,Private,   1.20 L,Null,Null,Null
"Adarsh Polytechnic, Ghazipur",Ghazipur, Uttar Pradesh,Private,   90.45 K,Null,Null,Null
"Adarsh Polytechnic, Jind",Julana Rural, Haryana,Private,Null,Null,Null,Null
"Adarsh Shikshan Prasarak Mandal's KT Patil College of Engineering and Technology, Osmanabad",Osmanabad, Maharashtra,Private,Null,B.E /B.Tech (3 Courses),Null,Null
"Adesh Institute of Engineering and Technology, Faridkot",Faridkot, Punjab,Private,Null,B.E /B.Tech (4 Courses),Null,2.0/5
