College_Name,Districts,States,Ownership,Fees,Btech_Courses,Mtech_Courses,Rating
"AR Engineering College, Villupuram",Villupuram, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Arham Veerayatan Polytechnic Institute, Mandvi",Kutch, Gujarat,Private,Null,Null,Null,Null
"Aries Polytechnic College, Palakkad",Palakkad, Kerala,Private,Null,Null,Null,Null
"Arifa Institute of Technology, Thirukkuvalai",Nagapattinam, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Arifa Polytechnic College, Nagapattinam",Nagapattinam, Tamil Nadu,Private,Null,Null,Null,Null
"Arignar Anna Institute of Science and Technology, Kancheepuram",Kancheepuram, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),Null,3.0/5
"Aringer Anna College of Engineering and Technology, Dindigul",Sriperumbudur, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Ariyalur Engineering College, Ariyalur",Ariyalur, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,3.5/5
"ARJ College of Engineering and Technology, Tiruvarur",Kannarappettai, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),Null
"ARJ Polytechnic College, Thiruvarur",Thiruvarur, Tamil Nadu,Private,Null,Null,Null,Null
"Arjun College of Technology and Sciences, Hayathnagar",Hyderabad, Telangana,Private,Null,B.E /B.Tech (5 Courses),Null,3.3/5
"Arjun College of Technology, Kinathukadavu",Chettikkapalayam, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),Null,Null
"ARKA Jain University, Seraikela",Jamshedpur, Jharkhand,Private,   5.30 L,B.E /B.Tech (6 Courses),Null,4.3/5
"Arkay College of Engineering and Technology, Nizamabad",Nizamabad, Telangana,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"ARM College of Engineering and Technology, Chennai",Chennai, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),Null
"AIT Pune - Army Institute of Technology, Pune",Pune, Maharashtra,Private,   8.62 L,B.E /B.Tech (4 Courses),Null,4.2/5
"Arni School of Technology, Kangra",Kangra, Himachal Pradesh,Private,   4.20 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (4 Courses),Null
"Arni University, Kathgarh",Kangra, Himachal Pradesh,Private,   4.21 L,B.E /B.Tech (5 Courses),Null,Null
"ARPIT Institute of Engineering and Technology, Rajkot",Hadala, Gujarat,Private,Null,Null,Null,Null
"Arrdekta Institute of Technology, Sabarkantha",Khedbrahma, Gujarat,Private,Null,B.E /B.Tech (7 Courses),Null,5.0/5
"ARS College of Engineering, Sattamangalam",Maraimalai Nagar, Tamil Nadu,Private,Null,B.E /B.Tech (4 Courses),M.E /M.Tech. (2 Courses),Null
"ART Polytechnic College, Beawar",Beawar, Rajasthan,Government,Null,Null,Null,Null
"Arul College of Technology, Radhapuram",Soundarapandiapuram, Tamil Nadu,Private,Null,B.E /B.Tech (4 Courses),M.E /M.Tech. (2 Courses),Null
"Arulmigu Kalasalingam Polytechnic College, Srivilliputtur",Pillaiyarnatham, Tamil Nadu,Private,Null,Null,Null,Null
"Arulmigu Meenakshi Amman College of Engineering, Tiruvannamalai",Namandi, Tamil Nadu,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (4 Courses),3.0/5
"Arulmigu Palaniandavar Polytechnic College, Palani",Palani, Tamil Nadu,Private,Null,Null,Null,4.0/5
"Arulmigu Senthilandavar Polytechnic College, Tirunelveli",Tirunelveli, Tamil Nadu,Private,Null,Null,Null,Null
"Arulmigu Thirupurasundari Amman Polytechnic College, Kanchipuram",Kanchipuram, Tamil Nadu,Private,Null,Null,Null,Null
"Arulmurugan College of Engineering, Karur",Thennilai West, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (2 Courses),Null
"Arulmurugan Polytechnic College, Karur",Thennilai, Tamil Nadu,Private,Null,Null,Null,Null
"Arunachala College of Engineering for Women, Nagercoil",Nagercoil, Tamil Nadu,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (5 Courses),Null
"Arunachal University of Studies, Namsai",Namsai, Arunachal Pradesh,Private,   1.17 L,Null,Null,3.3/5
"Arunai College of Engineering, Tiruvannamalai",Thenmathur, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Arunai Engineering College, Tiruvannamalai",Tiruvannamalai, Tamil Nadu,Private,Null,B.E /B.Tech (13 Courses),M.E /M.Tech. (6 Courses),3.7/5
"Arun Muchhala Engineering College, Amreli",Dhari, Gujarat,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Arunodaya University, Itanagar",Itanagar, Arunachal Pradesh,Private,Null,Null,Null,Null
"Arvindaksha Educational Society's Group of Institutions, Nalgonda",Suryapet, Telangana,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Arvindbhai Patel Institute of Environmental Design, Anand",Anand, Gujarat,Private,Null,Null,Null,Null
"Arvind Gavali College of Engineering, Satara",Satara, Maharashtra,Private,Null,B.E /B.Tech (6 Courses),Null,4.0/5
"Aryabharathi Polytechnic, Tumkur",Tumkur, Karnataka,Private,Null,Null,Null,Null
"Aryabhata Institute of Technology and Science, Ranga Reddy",Rangareddy, Telangana,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (4 Courses),Null
"Aryabhatta College of Engineering and Research Centre, Ajmer",Ajmer, Rajasthan,Private,   84 K,B.E /B.Tech (5 Courses),Null,Null
"Aryabhatta Group of Institutes, Barnala",Barnala, Punjab,Private,   3.08 L,B.E /B.Tech (4 Courses),Null,Null
"AIEMD Durgapur - Aryabhatta Institute of Engineering and Management, Durgapur",Burdwan, West Bengal,Private,Null,Null,Null,3.4/5
"AKU Patna - Aryabhatta Knowledge University, Patna",Patna, Bihar,Government,   3.98 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (11 Courses),4.1/5
"Aryabhatta Polytechnic, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Private,Null,Null,Null,Null
"Aryabhatt College of Engineering and Technology, Baghpat",Doula, Uttar Pradesh,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Aryabhatt DSEU, Ashok Vihar Campus",New Delhi, Delhi,Government,Null,Null,Null,Null
"Aryabhatt Polytechnic, Gaya",Gaya, Bihar,Private,Null,Null,Null,Null
"ACEIT Jaipur - Arya College of Engineering and IT, Jaipur",Jaipur, Rajasthan,Private,   4.23 L,B.E /B.Tech (6 Courses),M.E /M.Tech. (3 Courses),4.1/5
"Arya College, Jaipur - Arya College of Engineering and Research Centre, Jaipur",Jaipur, Rajasthan,Private,Null,B.E /B.Tech (3 Courses),Null,4.0/5
"Arya College of Engineering, Jaipur",Jaipur, Rajasthan,Private,   3.84 L,B.E /B.Tech (9 Courses),Null,3.7/5
"Arya Institute of Engineering Technology and Management, Jaipur",Sodala, Rajasthan,Private,   3.40 L,B.E /B.Tech (6 Courses),Null,2.0/5
"Aryanet Institute of Technology, Palakkad",Palakkad, Kerala,Private,   2 L,B.E /B.Tech (5 Courses),Null,Null
"AIET Bhubaneswar - Aryan Institute of Engineering and Technology, Bhubaneswar",Bhubaneswar, Odisha,Private,Null,B.E /B.Tech (6 Courses),Null,2.8/5
"Aryan Institute of Engineering and Technology Polytechnic, Cuttack",Cuttack, Odisha,Private,Null,Null,Null,Null
"Aryan Institute of Technology, Ghaziabad",Ghaziabad, Uttar Pradesh,Private,   1.01 L,B.E /B.Tech (6 Courses),Null,Null
"Aryan Mukul Polytechnic College, Tonk",Deoli, Rajasthan,Private,   84 K,Null,Null,Null
"Aryan Polytechnic College, Ajmer",Ajmer, Rajasthan,Private,   84 K,Null,Null,Null
"Aryan Polytechnic College, Kota",Kota, Rajasthan,Private,   85.50 K,Null,Null,Null
"Aryans College of Engineering, Patiala",Nepran, Punjab,Private,   3.73 L,B.E /B.Tech (6 Courses),Null,3.3/5
"Arya PG College, Panipat",Panipat, Haryana,Private,Null,Null,Null,3.5/5
"Aryavart Institute of Technology and Management, Lucknow",Lucknow, Uttar Pradesh,Private,Null,Null,Null,Null
"Aryika Gyanmati Government Girls Polytechnic, Faizabad",Faizabad, Uttar Pradesh,Government,Null,Null,Null,Null
"Asan Memorial College of Engineering and Technology, Kancheepuram",Kancheepuram, Tamil Nadu,Private,   2 L,B.E /B.Tech (7 Courses),Null,Null
"AEC Asansol - Asansol Engineering College, Asansol",Asansol, West Bengal,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (2 Courses),4.1/5
"Asansol Institute of Engineering and Management, Asansol",Burdwan, West Bengal,Private,   1.63 L,Null,Null,5.0/5
"Asansol Polytechnic, Bardhaman",Burdwan, West Bengal,Government,Null,Null,Null,Null
"ASC Centre and College, Bengaluru",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Asha M Tarsadia Institute of Computer Science and Technology, Bardoli",Bardoli, Gujarat,Private,Null,Null,Null,Null
"Ashoka Institute of Engineering and Technology, Nalgonda",Nalgonda, Telangana,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"Ashoka Institute of Technology and Management, Rajnandgaon",Rajnandgaon, Chhattisgarh,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Ashoka Institute of Technology and Management, Varanasi",Varanasi, Uttar Pradesh,Private,Null,B.E /B.Tech (7 Courses),Null,3.8/5
"Ashoka Polytechnic, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Ashoka School of Business, Yadadri Bhuvanagiri",Yadadri Bhuvanagiri, Telangana,Private,Null,Null,Null,4.5/5
"Ashoka School of Planning and Architecture, Hyderabad",Hyderabad, Telangana,Private,   4.85 L,Null,Null,Null
"Ashoka Women's Engineering College, Kurnool",Kurnool, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,5.0/5
"Ashok Institute of Engineering and Technology, Ahmednagar",Ahmednagar, Maharashtra,Private,Null,Null,Null,Null
"Ashokrao Mane Group of Institutions, Kolhapur",Vadgaon Kasba, Maharashtra,Private,   2.78 L,B.E /B.Tech (9 Courses),M.E /M.Tech. (5 Courses),Null
"Ashokrao Mane Polytechnic, Vadgaon",Save, Maharashtra,Private,   1.41 L,Null,Null,Null
"Ashtvinayak Institute of Technology, Kurukshetra",Kharkali, Haryana,Private,Null,Null,Null,Null
"AAFT Noida - Asian Academy of Film and Television, Noida",Noida, Uttar Pradesh,Private,Null,Null,Null,4.1/5
"Asian College of Engineering and Technology, Coimbatore",Coimbatore, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),Null,Null
"AID Bangalore - Asian Institute of Design, Bengaluru",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Asian Institute of Management and Technology, Yamuna Nagar",Yamuna Nagar, Haryana,Private,   2.70 L,B.E /B.Tech (6 Courses),Null,Null
"Asian Institute of Rural Technology, Kanpur Dehat",Baghpur, Uttar Pradesh,Private,Null,Null,Null,Null
"Asian Institute of Technology, Vadali",Khedbrahma, Gujarat,Private,Null,Null,Null,Null
"Asian International University, Manipur",Manipur, Manipur,Private,Null,Null,Null,5.0/5
"ASADI Kochi - Asian School of Architecture and Design Innovations, Kochi",Kochi, Kerala,Private,   4.82 L,Null,Null,4.1/5
"Asian School of Technology, Bhubaneswar",Bhubaneswar, Odisha,Private,Null,Null,Null,Null
"Asians Institute of Technology, Jaipur",Deeppura, Rajasthan,Private,Null,B.E /B.Tech (4 Courses),Null,2.0/5
"Asian Workers Development Institute, Rourkela",Rourkela, Odisha,Private,   55.50 K,Null,Null,Null
"Asia Pacific Institute of Information Technology, Panipat",Panipat, Haryana,Private,Null,B.E /B.Tech (5 Courses),Null,3.1/5
"ASIA School of Engineering, Ahmedabad",Ahmedabad, Gujarat,Private,   3 L,Null,Null,Null
"Asia School of Engineering and Management, Lucknow",Misripur, Uttar Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Asiatic Institute of Science and Technology, Rajkot",Rajkot, Gujarat,Private,Null,Null,Null,Null
"Asifia College of Engineering and Technology, Hyderabad",Ibrahimpatnam, Telangana,Private,Null,B.E /B.Tech (2 Courses),M.E /M.Tech. (5 Courses),Null
"ASK College of Technology and Management, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Private,Null,Null,Null,Null
"ASL Pauls College of Engineering and Technology, Coimbatore",Kinathukadavu, Tamil Nadu,Private,Null,B.E /B.Tech (5 Courses),Null,5.0/5
"Asmita College of Architecture, Thane",Thane, Maharashtra,Private,Null,Null,Null,Null
"ASM Polytechnic, Mathura",Mathura, Uttar Pradesh,Private,   98.27 K,Null,Null,Null
"ASN Women's Engineering College, Guntur",Guntur, Andhra Pradesh,Private,Null,B.E /B.Tech (2 Courses),Null,Null
"Aspee Shakilam Agricultural Biotechnology Institute, Surat",Surat, Gujarat,Government,Null,Null,Null,5.0/5
"Asra College of Engineering and Technology, Sangrur",Rajpura, Punjab,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"AS-Salam College of Engineering and Technology, Thanjavur",Sooriyanarkoil, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),Null
"Assam Don Bosco University, Guwahati",Guwahati, Assam,Private,   5.42 L,B.E /B.Tech (5 Courses),Null,3.9/5
"ADTU Guwahati - Assam Down Town University, Guwahati",Panikhaiti Gaon, Assam,Private,Null,B.E /B.Tech (3 Courses),Null,4.3/5
"Assam Engineering College, Guwahati",Guwahati, Assam,Government,   60 K,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),4.1/5
"Assam Engineering Institute, Guwahati",Guwahati, Assam,Government,   5.79 K,Null,Null,4.3/5
"ASTU Guwahati - Assam Science and Technology University, Guwahati",Guwahati, Assam,Government,   4.50 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (6 Courses),4.1/5
"Assam Textile Institute, Kamrup",Guwahati, Assam,Government,Null,Null,Null,Null
"Astral Institute of Technology and Research, Indore",Mirjapur, Madhya Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,3.0/5
"Asutosh College - Asutosh College, Kolkata",Kolkata, West Bengal,Government,   77.25 K,Null,Null,4.3/5
"Atal Bihari Vajpayee Government Institute of Engineering and Technology, Pragatinagar",Gumma, Himachal Pradesh,Government,Null,B.E /B.Tech (5 Courses),Null,4.5/5
IIITM Gwalior - Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Gwalior, Madhya Pradesh,Government,Null,Null,M.E /M.Tech. (6 Courses),4.1/5
"Atal Bihari Vajpayee Vishwavidyalaya, Bilaspur",Bilaspur, Chhattisgarh,Government,Null,Null,Null,3.6/5
"Atharva College of Engineering, Malad",Mumbai, Maharashtra,Private,   3.56 L,B.E /B.Tech (5 Courses),Null,4.1/5
"ATLAS SkillTech University, Mumbai",Mumbai, Maharashtra,Private,   18.18 L,Null,Null,4.3/5
"Atmakur Engineering College, Nellore",Nellore, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (2 Courses),Null
"ARSD College Delhi - Atma Ram Sanatan Dharma College, New Delhi",New Delhi, Delhi,Government,   48.33 K,Null,Null,4.1/5
"ATME College of Engineering, Mysore",Mysuru, Karnataka,Private,   8.74 L,B.E /B.Tech (10 Courses),Null,4.6/5
"Atmiya Institute of Technology and Science for Diploma Studies, Rajkot",Rajkot, Gujarat,Private,   1.35 L,Null,Null,Null
"Atmiya University, Rajkot",Rajkot, Gujarat,Private,   1.35 L,B.E /B.Tech (8 Courses),Null,4.0/5
"ATMS Group of Institutions, Hapur",Imtori, Uttar Pradesh,Private,Null,Null,Null,Null
"Atria Institute of Technology, Bangalore",Bangalore, Karnataka,Private,   3.96 L,B.E /B.Tech (8 Courses),M.E /M.Tech. (5 Courses),3.3/5
"Atria University, Bengaluru",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Atul Polytechnic, Mansa",Mansa, Gujarat,Private,Null,Null,Null,Null
"Auden Technology and Management Academy, Bangalore",Bangalore, Karnataka,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Audisankara College of Engineering and Technology, Gudur",Gudur, Andhra Pradesh,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (7 Courses),4.4/5
"Audisankara College of Engineering and Technology, Kodavalur",Kodavalur, Andhra Pradesh,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Audisankara College of Engineering for Women, Gudur",Nellore, Andhra Pradesh,Private,Null,B.E /B.Tech (3 Courses),Null,5.0/5
"Audisankara Institute of Technology, Gudur",Gudur, Andhra Pradesh,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (3 Courses),4.1/5
"Aum Sai Institute of Technical Education, Berhampur",Korapalli, Odisha,Private,   90 K,Null,Null,Null
"ACE Aurangabad - Aurangabad College of Engineering, Aurangabad",Aurangabad, Maharashtra,Private,Null,B.E /B.Tech (5 Courses),Null,3.0/5
"Aurobindo Institute of Engineering and Technology, Hyderabad",Ibrahimpatnam, Telangana,Private,Null,Null,M.E /M.Tech. (5 Courses),Null
"Aurora Higher Education and Research Academy, Uppal",Hyderabad, Telangana,Private,Null,Null,Null,4.0/5
"Aurora's Design Academy, Hyderabad",Hyderabad, Telangana,Private,Null,Null,Null,Null
"Auroras Design Institute, Hyderabad",Hyderabad, Telangana,Private,Null,Null,Null,5.0/5
"Aurora's Engineering College, Nalgonda",Nalgonda, Telangana,Private,Null,B.E /B.Tech (4 Courses),M.E /M.Tech. (3 Courses),3.8/5
"Aurora's Polytechnic Academy, Hyderabad",Hyderabad, Telangana,Private,Null,Null,Null,Null
"Aurora's Polytechnic, Nalgonda",Nalgonda, Telangana,Private,Null,Null,Null,Null
"Aurora's Scientific and Technological Institute, Ghatkesar",Secunderabad, Telangana,Private,   2.61 L,B.E /B.Tech (4 Courses),Null,3.5/5
"Aurora's Scientific Technological and Research Academy, Hyderabad",Hyderabad, Telangana,Private,   2.65 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (4 Courses),4.2/5
"Aurora's Seethaiah Engineering College, Nalgonda",Hyderabad, Telangana,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (10 Courses),1.8/5
"Aurora's Technical and Management Campus, Hyderabad",Hyderabad, Telangana,Private,   1.40 L,B.E /B.Tech (2 Courses),Null,5.0/5
"Aurora's Technological and Management Academy, Hyderabad",Ghatkesar, Telangana,Private,Null,B.E /B.Tech (3 Courses),Null,Null
"ATRI Hyderabad - Aurora's Technological and Research Institute, Hyderabad",Hyderabad, Telangana,Private,Null,B.E /B.Tech (9 Courses),M.E /M.Tech. (2 Courses),3.6/5
"Aurora's Technological Institute, Chikkadpally",Hyderabad, Telangana,Private,Null,B.E /B.Tech (3 Courses),Null,Null
"Aurora's Technological Institute, Ranga Reddy",Hyderabad, Telangana,Private,Null,B.E /B.Tech (3 Courses),Null,Null
"Auro University, Surat",Surat, Gujarat,Private,   12.81 L,Null,Null,4.0/5
"AIAT Villupuram - Auroville Institute of Applied Technology, Villupuram",Villupuram, Tamil Nadu,Private,   1.80 L,Null,Null,Null
"Aurum Institute of Technology, Rajkot",Rajkot, Gujarat,Private,Null,B.E /B.Tech (6 Courses),Null,Null
"Avani Institute of Design, Calicut",Kozhikode, Kerala,Private,Null,Null,Null,Null
"Avanthi Institute of Engineering and Technology, Bhogapuram",Vizianagaram, Andhra Pradesh,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (5 Courses),4.5/5
"Avanthi Institute of Engineering and Technology, Hayathnagar",Rangareddy, Telangana,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (3 Courses),4.0/5
"Avanthi Institute of Engineering and Technology, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (5 Courses),4.4/5
"Avanthis Polytechnic College, Vizianagaram",Vizianagaram, Andhra Pradesh,Private,Null,Null,Null,4.0/5
"Avanthi's Research and Technological Academy, Bhogapuram",Vizianagaram, Andhra Pradesh,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (2 Courses),4.0/5
"Avanthi's Scientific Technological and Research Academy, Hayathnagar",Hyderabad, Telangana,Private,Null,B.E /B.Tech (7 Courses),Null,4.0/5
"Avanthi's Sri Gnaneswari Research and Technological Academy for Women, Bhogapuram",Vizianagaram, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Avanthi's St Theressa Institute of Engineering and Technology, Garividi",Vizianagaram, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,3.1/5
"Avantika University, Ujjain",Lekoda, Madhya Pradesh,Private,   8.30 L,Null,M.E /M.Tech. (6 Courses),5.0/5
"AVC College, Mayiladuthurai",Mayiladuthurai, Tamil Nadu,Private,   30.29 K,Null,Null,Null
"AVC College of Engineering, Nagapattinam",Nagapattinam, Tamil Nadu,Private,   2.42 L,B.E /B.Tech (7 Courses),M.E /M.Tech. (3 Courses),3.5/5
"AVC Polytechnic College, Mayiladuthurai",Mayiladuthurai, Tamil Nadu,Private,Null,Null,Null,Null
"Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore",Coimbatore, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (4 Courses),3.9/5
"AVNIET Hyderabad - AVN Institute of Engineering and Technology, Hyderabad",Ibrahimpatnam, Telangana,Private,   3.80 L,B.E /B.Tech (8 Courses),M.E /M.Tech. (4 Courses),3.9/5
"AVN Polytechnic, Krishna",Krishna, Andhra Pradesh,Private,Null,Null,Null,Null
"AVPTI Rajkot - AV Parekh Technical Institute, Rajkot",Rajkot, Gujarat,Government,Null,Null,Null,Null
"AVR and SVR College of Engineering and Technology, Kurnool",Nandyal, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (6 Courses),Null
"AVS Arts and Science College, Salem",Salem, Tamil Nadu,Private,Null,Null,Null,4.5/5
"AVS College of Engineering and Technology, Nellore",Nellore, Andhra Pradesh,Private,Null,B.E /B.Tech (4 Courses),Null,0.0/5
"AVS College of Technology, Salem",Karumapuram, Tamil Nadu,Private,Null,B.E /B.Tech (7 Courses),M.E /M.Tech. (2 Courses),Null
"AVS Engineering College, Salem",Salem, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (6 Courses),5.0/5
"Avvaiyar College of Engineering and Technology For Women, Thiruvandarkoil",Thiruvandarkoil, Puducherry,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"Awadh College of Architecture, Jamshedpur",Jamshedpur, Jharkhand,Private,Null,Null,Null,Null
"APSU Rewa - Awadhesh Pratap Singh University, Rewa",Rewa, Madhya Pradesh,Government,Null,Null,Null,4.2/5
"AWH College of Science and Technology, Anakkara",Palakkad, Kerala,Private,Null,Null,Null,Null
"AWH Engineering College, Kozhikode",Kozhikode, Kerala,Private,   2 L,B.E /B.Tech (5 Courses),M.E /M.Tech. (4 Courses),3.0/5
"AWH Polytechnic College, Kozhikode",Kozhikode, Kerala,Private,   67.50 K,Null,Null,Null
"AWH Special College, Calicut",Kozhikode, Kerala,Private,   57.94 K,Null,Null,Null
"Axis College of Engineering and Technology, Thrissur",Thrissur, Kerala,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"AIA, Kanpur - Axis Institute of Architecture, Kanpur",Hathi Pur, Uttar Pradesh,Private,Null,Null,Null,5.0/5
"Axis Institute of Diploma Engineering, Maharajpur",Maharajpur, Uttar Pradesh,Private,Null,Null,Null,Null
"AITM Kanpur - Axis Institute of Technology and Management, Kanpur",Kanpur, Uttar Pradesh,Private,   4.18 L,B.E /B.Tech (8 Courses),Null,4.1/5
"Ayaan College of Engineering and Technology, Ranga Reddy",Rangareddy, Telangana,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"AY Dadabhai Technical Institute, Surat",Surat, Gujarat,Private,   1.50 L,Null,Null,Null
"ANJA Sivakasi - Ayya Nadar Janaki Ammal Polytechnic College, Sivakasi",Sivakasi, Tamil Nadu,Private,Null,Null,Null,Null
"Ayyappa Polytechnic College, Cuddalore",Koothakudi, Tamil Nadu,Private,Null,Null,Null,Null
"Azad College of Engineering and Technology, Hyderabad",Hyderabad, Telangana,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (6 Courses),Null
"Azad College of Engineering for Women, Hyderabad",Hyderabad, Telangana,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"AIET Lucknow - Azad Institute of Engineering and Technology, Lucknow",Lucknow, Uttar Pradesh,Private,   2.40 L,B.E /B.Tech (6 Courses),M.E /M.Tech. (4 Courses),3.9/5
"Azad Polytechnic, Azamgarh",Azamgarh, Uttar Pradesh,Private,   90.45 K,Null,Null,Null
"Azad Polytechnic College, Lucknow",Lucknow, Uttar Pradesh,Private,   1.05 L,Null,Null,Null
"Azmet College of Engineering and Technology, Kishanganj",Kishanganj, Bihar,Private,   1.35 L,Null,Null,Null
"Azmet Institute of Technology, Kishanganj",Kishanganj, Bihar,Private,   2.40 L,B.E /B.Tech (5 Courses),Null,Null
"BBSBEC Fatehgarh Sahib - Baba Banda Singh Bahadur Engineering College, Fatehgarh Sahib",Fatehgarh Sahib, Punjab,Private,   3.60 L,B.E /B.Tech (12 Courses),M.E /M.Tech. (4 Courses),4.5/5
"Baba Banda Singh Bahadur Global Polytechnic College, Moga",Indergarh, Punjab,Private,Null,Null,Null,Null
"Baba Banda Singh Bahadur Polytechnic College, Fatehgarh Sahib",Fatehgarh Sahib, Punjab,Private,Null,Null,Null,Null
"Baba Bindeshwari Singh Institute of Technology and Management, Varanasi",Varanasi, Uttar Pradesh,Private,   90.45 K,Null,Null,Null
"Baba Farid College of Engineering and Technology, Bathinda",Buladewala, Punjab,Private,   3.80 L,B.E /B.Tech (7 Courses),Null,4.3/5
"Baba Ghulam Shah Badshah University, Jammu",Jammu, Jammu and Kashmir,Government,   27.60 K,B.E /B.Tech (10 Courses),Null,3.9/5
"Baba Hazara Singh Polytechnic, Gurdaspur",Gurdaspur, Punjab,Private,   85.18 K,Null,Null,Null
"Baba Hira Singh Bhattal Institute of Engineering and Technology, Lehragaga",Lehragaga, Punjab,Government,Null,B.E /B.Tech (4 Courses),Null,3.5/5
"BITS VIZAG - Baba Institute of Technology and Sciences, Visakhapatnam",Visakhapatnam, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),M.E /M.Tech. (5 Courses),3.7/5
"Baba Kadhera Singh College of Engineering and Technology, Mathura",Sonkh Dehat, Uttar Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Baba Kheta Nath Government Polytechnic, Narnaul",Narnaul, Haryana,Government,Null,Null,Null,Null
"Baba Kuma Singh Ji Engineering College, Amritsar",Hoshiar Nagar, Punjab,Private,Null,B.E /B.Tech (6 Courses),Null,4.5/5
"Baba Mastnath University, Rohtak",Rohtak, Haryana,Private,   2 L,B.E /B.Tech (4 Courses),M.E /M.Tech. (4 Courses),4.1/5
"Baba Namdev University College, Kishankot",Ghoman, Punjab,Private,Null,Null,Null,Null
"Baba Ramdal Surajdev Polytechnic College, Ballia",Ballia, Uttar Pradesh,Private,Null,Null,Null,Null
"Baba Sahab Dr Bhim Rao Ambedkar College of Agricultural Engineering and Technology, Etawah",Etawah, Uttar Pradesh,Government,Null,B.E /B.Tech (4 Courses),Null,2.0/5
"Babasaheb Ambedkar Government Polytechnic, Tehatta",Tehatta, West Bengal,Government,   4.09 K,Null,Null,Null
"Baba Saheb Ambedkar Polytechnic, Mathura",Mathura, Uttar Pradesh,Private,Null,Null,Null,Null
"Baba Saheb Ambedkar Polytechnic, New Delhi",New Delhi, Delhi,Private,   1.04 L,Null,Null,Null
"Baba Saheb Ambedkar Technical Education Society, New Delhi",New Delhi, Delhi,Private,   2.20 L,Null,Null,Null
